crystal_structure,density_g/cm3,melting_point_degC,boiling_point_degC,thermal_conductivity_W/(m*K),specific_heat_J/(kg*K),thermal_expansion_1e-6/K,youngs_modulus_GPa,shear_modulus_GPa,bulk_modulus_GPa,poissons_ratio,hardness_MPa,hardness_Mohs,tensile_strength_MPa,compressive_strength_MPa,fracture_toughness_MPa*m^0.5,refractive_index_o,refractive_index_e,dielectric_constant,resistivity_ohm*m,magnetic_susceptibility_cm3/mol,band_gap_eV,std_enthalpy_kJ/mol,std_entropy_J/(mol*K),Sellmeier_B1,Sellmeier_B2,Sellmeier_B3,Sellmeier_C1_um2,Sellmeier_C2_um2,Sellmeier_C3_um2,lattice_a_angstrom,lattice_b_angstrom,lattice_c_angstrom,lattice_alpha_deg,lattice_beta_deg,lattice_gamma_deg,space_group,volume_angstrom3,Z_formula_units,piezo_d11_pC/N,piezo_d14_pC/N,piezo_e11_C/m2,piezo_e14_C/m2,elastic_C11_GPa,elastic_C12_GPa,elastic_C13_GPa,elastic_C14_GPa,elastic_C33_GPa,elastic_C44_GPa,elastic_C66_GPa,molar_volume_cm3/mol,melting_point_K,boiling_point_K,thermal_expansion_parallel_1/K,thermal_expansion_perp_1/K,dielectric_constant_parallel,dielectric_constant_perp,dielectric_loss_tan_delta,thermal_conductivity_W/mK,poisson_ratio,bandgap_eV,sound_velocity_longitudinal_m/s,sound_velocity_transverse_m/s,viscosity_Pa.s,softening_point_degC,annealing_point_degC,strain_point_degC,freq_temp_coeff_ppm/C,Q_factor,debye_temp_K,formation_gibbs_kJ/mol,notes,reference
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.224,-293.3886758712107,,,,,,,,,,,,,,P3221,103.51,,,,,,,,,,,,,,,,,,,,,,,6.224,,,,,,,,,,,OQMD DFT calculation,"OQMD:98211, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-176.2912658218536,,,,,,,,,,,,,,P4/nbm,373.808,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:21654, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.655,-231.5320935122786,,,,,,,,,,,,,,P4322,298.331,,,,,,,,,,,,,,,,,,,,,,,1.655,,,,,,,,,,,OQMD DFT calculation,"OQMD:21661, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.637,-288.0623891961036,,,,,,,,,,,,,,Fmm2,386.142,,,,,,,,,,,,,,,,,,,,,,,5.637,,,,,,,,,,,OQMD DFT calculation,"OQMD:21833, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,5.775,-295.37626203355984,,,,,,,,,,,,,,C2/c,391.98,,,,,,,,,,,,,,,,,,,,,,,5.775,,,,,,,,,,,OQMD DFT calculation,"OQMD:66494, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,5.987,-293.23137873423246,,,,,,,,,,,,,,C2/c,270.443,,,,,,,,,,,,,,,,,,,,,,,5.987,,,,,,,,,,,OQMD DFT calculation,"OQMD:86102, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.606,-281.46701245441227,,,,,,,,,,,,,,P-4c2,329.99,,,,,,,,,,,,,,,,,,,,,,,5.606,,,,,,,,,,,OQMD DFT calculation,"OQMD:111551, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.859,-278.76978947579977,,,,,,,,,,,,,,Pcca,260.873,,,,,,,,,,,,,,,,,,,,,,,4.859,,,,,,,,,,,OQMD DFT calculation,"OQMD:111558, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,1.343,-243.02347984706228,,,,,,,,,,,,,,C2/c,313.872,,,,,,,,,,,,,,,,,,,,,,,1.343,,,,,,,,,,,OQMD DFT calculation,"OQMD:111550, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.609,-296.3037849620137,,,,,,,,,,,,,,Cmca,400.95,,,,,,,,,,,,,,,,,,,,,,,5.609,,,,,,,,,,,OQMD DFT calculation,"OQMD:21647, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.008,-295.88409105163487,,,,,,,,,,,,,,P213,329.745,,,,,,,,,,,,,,,,,,,,,,,6.008,,,,,,,,,,,OQMD DFT calculation,"OQMD:646106, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,6.011,-293.48085304377236,,,,,,,,,,,,,,C2/c,272.493,,,,,,,,,,,,,,,,,,,,,,,6.011,,,,,,,,,,,OQMD DFT calculation,"OQMD:39193, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.913,-293.2479518420762,,,,,,,,,,,,,,I-42m,312.88,,,,,,,,,,,,,,,,,,,,,,,5.913,,,,,,,,,,,OQMD DFT calculation,"OQMD:21648, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.58,-289.89796952587864,,,,,,,,,,,,,,P-4n2,321.96,,,,,,,,,,,,,,,,,,,,,,,5.58,,,,,,,,,,,OQMD DFT calculation,"OQMD:648108, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.976,-296.0761253079435,,,,,,,,,,,,,,P212121,331.314,,,,,,,,,,,,,,,,,,,,,,,5.976,,,,,,,,,,,OQMD DFT calculation,"OQMD:646904, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,3.458,-271.1537863636911,,,,,,,,,,,,,,P1,271.658,,,,,,,,,,,,,,,,,,,,,,,3.458,,,,,,,,,,,OQMD DFT calculation,"OQMD:111553, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,5.982,-293.3909505318873,,,,,,,,,,,,,,C2/c,271.958,,,,,,,,,,,,,,,,,,,,,,,5.982,,,,,,,,,,,OQMD DFT calculation,"OQMD:42063, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.638,-279.99101680466373,,,,,,,,,,,,,,Fddd,369.85,,,,,,,,,,,,,,,,,,,,,,,4.638,,,,,,,,,,,OQMD DFT calculation,"OQMD:686948, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.765,-294.3799705872161,,,,,,,,,,,,,,R32,417.997,,,,,,,,,,,,,,,,,,,,,,,5.765,,,,,,,,,,,OQMD DFT calculation,"OQMD:21642, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.86,-295.5234051293395,,,,,,,,,,,,,,P43212,466.901,,,,,,,,,,,,,,,,,,,,,,,5.86,,,,,,,,,,,OQMD DFT calculation,"OQMD:6479, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.518,-295.6435917499934,,,,,,,,,,,,,,Cmcm,634.681,,,,,,,,,,,,,,,,,,,,,,,5.518,,,,,,,,,,,OQMD DFT calculation,"OQMD:11676, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.923,-296.14027562491066,,,,,,,,,,,,,,C2/m,670.865,,,,,,,,,,,,,,,,,,,,,,,5.923,,,,,,,,,,,OQMD DFT calculation,"OQMD:15434, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.24,-275.9685554259748,,,,,,,,,,,,,,P23,651.484,,,,,,,,,,,,,,,,,,,,,,,5.24,,,,,,,,,,,OQMD DFT calculation,"OQMD:21630, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.647,-220.54091656070906,,,,,,,,,,,,,,P622,505.445,,,,,,,,,,,,,,,,,,,,,,,1.647,,,,,,,,,,,OQMD DFT calculation,"OQMD:21646, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.885,-283.1467511502357,,,,,,,,,,,,,,P-31m,502.217,,,,,,,,,,,,,,,,,,,,,,,5.885,,,,,,,,,,,OQMD DFT calculation,"OQMD:21645, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.904,-296.117409349945,,,,,,,,,,,,,,Ia-3d,510.045,,,,,,,,,,,,,,,,,,,,,,,5.904,,,,,,,,,,,OQMD DFT calculation,"OQMD:21657, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.026,-293.28256670687153,,,,,,,,,,,,,,P63/mmc,855.524,,,,,,,,,,,,,,,,,,,,,,,6.026,,,,,,,,,,,OQMD DFT calculation,"OQMD:21628, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.339,-274.1811569178552,,,,,,,,,,,,,,P-31c,432.164,,,,,,,,,,,,,,,,,,,,,,,4.339,,,,,,,,,,,OQMD DFT calculation,"OQMD:21664, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-128.8238951954411,,,,,,,,,,,,,,F4132,363.992,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:21636, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.813,-292.64028133866293,,,,,,,,,,,,,,Pnc2,425.313,,,,,,,,,,,,,,,,,,,,,,,5.813,,,,,,,,,,,OQMD DFT calculation,"OQMD:54004, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-155.86663871209495,,,,,,,,,,,,,,P-31c,621.321,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:111533, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.864,-247.08226548313021,,,,,,,,,,,,,,C2/m,482.939,,,,,,,,,,,,,,,,,,,,,,,1.864,,,,,,,,,,,OQMD DFT calculation,"OQMD:111532, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,3.687,-270.8352126463145,,,,,,,,,,,,,,P6422,532.781,,,,,,,,,,,,,,,,,,,,,,,3.687,,,,,,,,,,,OQMD DFT calculation,"OQMD:111546, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.868,-293.75383825528246,,,,,,,,,,,,,,P1,548.519,,,,,,,,,,,,,,,,,,,,,,,5.868,,,,,,,,,,,OQMD DFT calculation,"OQMD:21966, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.938,-273.0748889069574,,,,,,,,,,,,,,I213,498.47,,,,,,,,,,,,,,,,,,,,,,,4.938,,,,,,,,,,,OQMD DFT calculation,"OQMD:21638, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-cristobalite,,,,,,,,,,,,,,,,,,,,,4.514,-261.0583026627129,,,,,,,,,,,,,,P41212,519.054,,,,,,,,,,,,,,,,,,,,,,,4.514,,,,,,,,,,,OQMD DFT calculation,"OQMD:20576, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.934,-294.99564482959494,,,,,,,,,,,,,,Cm,605.807,,,,,,,,,,,,,,,,,,,,,,,5.934,,,,,,,,,,,OQMD DFT calculation,"OQMD:21668, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.672,-211.13211057441836,,,,,,,,,,,,,,P622,548.761,,,,,,,,,,,,,,,,,,,,,,,0.672,,,,,,,,,,,OQMD DFT calculation,"OQMD:111544, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.535,-221.06930417376225,,,,,,,,,,,,,,P622,529.983,,,,,,,,,,,,,,,,,,,,,,,1.535,,,,,,,,,,,OQMD DFT calculation,"OQMD:111545, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-120.87879852600202,,,,,,,,,,,,,,I432,561.14,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:21637, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.724,-296.08687677890043,,,,,,,,,,,,,,C2/m,665.528,,,,,,,,,,,,,,,,,,,,,,,5.724,,,,,,,,,,,OQMD DFT calculation,"OQMD:111561, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
beta-cristobalite,,,,,,,,,,,,,,,,,,,,,6.117,-261.61327197366995,,,,,,,,,,,,,,Fd-3m,107.781,,,,,,,,,,,,,,,,,,,,,,,6.117,,,,,,,,,,,OQMD DFT calculation,"OQMD:711506, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.621,-295.26157394947666,,,,,,,,,,,,,,C2/m,730.804,,,,,,,,,,,,,,,,,,,,,,,5.621,,,,,,,,,,,OQMD DFT calculation,"OQMD:11677, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.588,-279.5745217137529,,,,,,,,,,,,,,P4/n,559.236,,,,,,,,,,,,,,,,,,,,,,,5.588,,,,,,,,,,,OQMD DFT calculation,"OQMD:111549, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.064,-293.25197016091226,,,,,,,,,,,,,,P21/c,541.198,,,,,,,,,,,,,,,,,,,,,,,6.064,,,,,,,,,,,OQMD DFT calculation,"OQMD:87467, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.909,-295.1829308379418,,,,,,,,,,,,,,C2/m,903.646,,,,,,,,,,,,,,,,,,,,,,,5.909,,,,,,,,,,,OQMD DFT calculation,"OQMD:73933, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.778,-292.19280163108175,,,,,,,,,,,,,,P-1,911.287,,,,,,,,,,,,,,,,,,,,,,,5.778,,,,,,,,,,,OQMD DFT calculation,"OQMD:111523, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.36,-245.4477183981043,,,,,,,,,,,,,,P4/nbm,620.453,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,OQMD DFT calculation,"OQMD:111536, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.855,-294.8911580270293,,,,,,,,,,,,,,P42/nbc,637.461,,,,,,,,,,,,,,,,,,,,,,,5.855,,,,,,,,,,,OQMD DFT calculation,"OQMD:111552, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.689,-296.0418517856373,,,,,,,,,,,,,,I41/amd,818.117,,,,,,,,,,,,,,,,,,,,,,,5.689,,,,,,,,,,,OQMD DFT calculation,"OQMD:111535, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.978,-294.2633000005685,,,,,,,,,,,,,,P21/c,584.431,,,,,,,,,,,,,,,,,,,,,,,5.978,,,,,,,,,,,OQMD DFT calculation,"OQMD:111554, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.784,-296.29232270928964,,,,,,,,,,,,,,Cmmm,994.977,,,,,,,,,,,,,,,,,,,,,,,5.784,,,,,,,,,,,OQMD DFT calculation,"OQMD:23481, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.602,-295.4881946237779,,,,,,,,,,,,,,I4/mcm,807.691,,,,,,,,,,,,,,,,,,,,,,,5.602,,,,,,,,,,,OQMD DFT calculation,"OQMD:111534, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.867,-295.4082076140286,,,,,,,,,,,,,,Pc,682.427,,,,,,,,,,,,,,,,,,,,,,,5.867,,,,,,,,,,,OQMD DFT calculation,"OQMD:111547, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.92,-295.1578321211889,,,,,,,,,,,,,,P2/c,990.484,,,,,,,,,,,,,,,,,,,,,,,5.92,,,,,,,,,,,OQMD DFT calculation,"OQMD:95672, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.689,-293.887713729981,,,,,,,,,,,,,,Cmcm,961.796,,,,,,,,,,,,,,,,,,,,,,,5.689,,,,,,,,,,,OQMD DFT calculation,"OQMD:10051, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.916,-296.01921564526464,,,,,,,,,,,,,,Fmmm,1054.36,,,,,,,,,,,,,,,,,,,,,,,5.916,,,,,,,,,,,OQMD DFT calculation,"OQMD:86463, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.257,-269.2453532657748,,,,,,,,,,,,,,P1,567.754,,,,,,,,,,,,,,,,,,,,,,,5.257,,,,,,,,,,,OQMD DFT calculation,"OQMD:111556, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.906,-296.2521020793951,,,,,,,,,,,,,,Immm,1000.04,,,,,,,,,,,,,,,,,,,,,,,5.906,,,,,,,,,,,OQMD DFT calculation,"OQMD:59185, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.057,-273.5904928650092,,,,,,,,,,,,,,P1,572.327,,,,,,,,,,,,,,,,,,,,,,,4.057,,,,,,,,,,,OQMD DFT calculation,"OQMD:686952, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.578,-294.9540188822756,,,,,,,,,,,,,,Cmcm,1214.56,,,,,,,,,,,,,,,,,,,,,,,5.578,,,,,,,,,,,OQMD DFT calculation,"OQMD:57626, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,,-296.22785484499974,,,,,,,,,,,,,,P63/mcm,1419.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OQMD DFT calculation,"OQMD:111531, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.814,-296.03243956668183,,,,,,,,,,,,,,Imma,1175.37,,,,,,,,,,,,,,,,,,,,,,,5.814,,,,,,,,,,,OQMD DFT calculation,"OQMD:57627, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.862,-295.4602204664137,,,,,,,,,,,,,,P212121,987.411,,,,,,,,,,,,,,,,,,,,,,,5.862,,,,,,,,,,,OQMD DFT calculation,"OQMD:82133, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.992,-294.6201564734153,,,,,,,,,,,,,,Fm-3m,1681.82,,,,,,,,,,,,,,,,,,,,,,,5.992,,,,,,,,,,,OQMD DFT calculation,"OQMD:111526, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.816,-276.898672460859,,,,,,,,,,,,,,P2,3115.78,,,,,,,,,,,,,,,,,,,,,,,5.816,,,,,,,,,,,OQMD DFT calculation,"OQMD:112550, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.234,-293.77143036533244,,,,,,,,,,,,,,P3121,104.251,,,,,,,,,,,,,,,,,,,,,,,6.234,,,,,,,,,,,OQMD DFT calculation,"OQMD:1343496, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.339,-263.19604528139973,,,,,,,,,,,,,,P-3m1,26.8731,,,,,,,,,,,,,,,,,,,,,,,6.339,,,,,,,,,,,OQMD DFT calculation,"OQMD:1440171, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,3.251,-191.8616467903661,,,,,,,,,,,,,,R3m,28.3995,,,,,,,,,,,,,,,,,,,,,,,3.251,,,,,,,,,,,OQMD DFT calculation,"OQMD:1442165, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.584,-185.3827147398161,,,,,,,,,,,,,,P2/m,36.5073,,,,,,,,,,,,,,,,,,,,,,,0.584,,,,,,,,,,,OQMD DFT calculation,"OQMD:1444248, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.473,-278.82210444684114,,,,,,,,,,,,,,Pnnm,47.0431,,,,,,,,,,,,,,,,,,,,,,,5.473,,,,,,,,,,,OQMD DFT calculation,"OQMD:1443659, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,3.747,-255.55212471696612,,,,,,,,,,,,,,Pmm2,51.4792,,,,,,,,,,,,,,,,,,,,,,,3.747,,,,,,,,,,,OQMD DFT calculation,"OQMD:1444272, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.951,-254.29756129797474,,,,,,,,,,,,,,Ibam,73.014,,,,,,,,,,,,,,,,,,,,,,,4.951,,,,,,,,,,,OQMD DFT calculation,"OQMD:1442694, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.267,-293.7505405051879,,,,,,,,,,,,,,P3121,104.209,,,,,,,,,,,,,,,,,,,,,,,6.267,,,,,,,,,,,OQMD DFT calculation,"OQMD:1444333, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-262.40021770439944,,,,,,,,,,,,,,Cmca,106.618,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:1439848, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-272.28303972812444,,,,,,,,,,,,,,P21/m,123.312,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:1441664, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.231000000000001,-295.7026258024286,,,,,,,,,,,,,,P1,163.27,,,,,,,,,,,,,,,,,,,,,,,6.231000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:1443669, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.962000000000001,-295.54651984647967,,,,,,,,,,,,,,C222,772.454,,,,,,,,,,,,,,,,,,,,,,,5.962000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:643998, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.933999999999999,-295.6087970143776,,,,,,,,,,,,,,I41/amd,810.831,,,,,,,,,,,,,,,,,,,,,,,5.933999999999999,,,,,,,,,,,OQMD DFT calculation,"OQMD:96488, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,3.819,-274.8296470220021,,,,,,,,,,,,,,R-3m,296.375,,,,,,,,,,,,,,,,,,,,,,,3.819,,,,,,,,,,,OQMD DFT calculation,"OQMD:21656, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.33599999999999985,-191.74808294031402,,,,,,,,,,,,,,P4/nnc,583.094,,,,,,,,,,,,,,,,,,,,,,,0.33599999999999985,,,,,,,,,,,OQMD DFT calculation,"OQMD:111537, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
